Database,Count_db,Percentage_db
PostgreSQL,27397,15.778955249668837
MySQL,19186,11.049933767206129
SQLite,17725,10.208489316362378
MongoDB,15011,8.64539538098255
Redis,13291,7.654783159592236
Microsoft SQL Server,12111,6.9751771007314405
MariaDB,8798,5.067096699879054
Elasticsearch,8698,5.0095029660772905
Oracle,5132,2.955710418706445
Dynamodb,5007,2.883718251454242
Other,41274,23.7712376893394
